,user,posts
329,euchristelle,"LUCKY DRAW & GIVEAWAY!!!Get festive with Deliveroo this CNY! Want to try something new apart from your usual steamboat? Deliveroo is offering a plethora of deals for you and your family this CNY, be sure to check it out and have your CNY reunion made easy with @deliveroo_sg!You can now stand a chance to win $888 Deliveroo credits with a minimum $20 spend in a single order! HUAT AH!! 🧧 There will be 1 winner daily and the draw ends on 28th Feb 2021!I will also be giving away 2x $88 Deliveroo credits for you guys to feast on this CNY! Here’s how you can join the giveaway:1. Like this post2. Follow @euchristelle and @deliveroo_sg3. Tag 3 friends/family members you’ll like to invite this CNYGiveaway ends on the 10th Feb 2359, 2 lucky winners residing in Singapore will be announced on 11th Feb!#DeliverooSG #sp"
330,minjiao,Lai Lai Lai! Huat ah! @wantan86 @jrnewera @minacious
331,wantan86,@minjiao huat ah
332,minacious,@minjiao huat ah
333,sharon_hooo,@garyonggg @constancehfz @yitengggg
334,constancehfz,@sharon_hooo Huat ah
335,mich_gohong,@evangelical9 @ely.sazz @shibe_nation 😊
336,xnlgt,@kennethtankw @kyr_tham @tintan__ huat uhhhhhhhhh!!! 🤩
337,doublerainbow00,@irisgeelee @elainee9799 @xiaoling_wif5kiddos
338,definemadness,@darreellim @yuxinnong @kelvyeoo hahaha i need to win this if not cannot invite yall alr!!!🤣🤣🤣
339,yuxinnong,@definemadness @euchristelle pls let her win LOL
340,lolricle,eunice you honestly have the best deals ever!!!💯💯💯 @alyxciaal @txyvibes @byun
341,lev_happy,@geraldinefjy @vivienne.lim @ec_eric_chin
342,curlyvinn,@cherlynk3h @jiayanteo @prunellalee
343,alyxciaal,@untruththe @sharonyeung_ @5alycia5
344,curlyvinn,@gillianleongjq @yingxz @momomiaz
345,popthegum,@markkfu @myluckyboy @mawsburger woohoooo
346,seowtaitai,@dwellingsbyjune @jennyfong80 @wendy
347,definemadness,@suyanchia @dengerouslyang @shermaineisabel we need this else i can't feed yall HAHHAA🎉
348,curlyvinn,@xhmhuat @paulinieeeeee @z4zq
349,gracegisellepng,@yeosokgek @fishballchawder @evelynin72
350,ginniequek,❤️😍🌸 @shannonlee62 @gary.queksh @fionaleechylye
351,melinateo,@kite23prom @jean.ng.88 @julia22ng
352,melinateo,@melody.tsk @salina_bellona @melody_kittykat
353,kris.theodore.addison,@decbreeze
